Id_Date,Date
0,2020-01-22
1,2020-01-23
2,2020-01-24
3,2020-01-25
4,2020-01-26
5,2020-01-27
6,2020-01-28
7,2020-01-29
8,2020-01-30
9,2020-01-31
10,2020-02-01
11,2020-02-02
12,2020-02-03
13,2020-02-04
14,2020-02-05
15,2020-02-06
16,2020-02-07
17,2020-02-08
18,2020-02-09
19,2020-02-10
20,2020-02-11
21,2020-02-12
22,2020-02-13
23,2020-02-14
24,2020-02-15
25,2020-02-16
26,2020-02-17
27,2020-02-18
28,2020-02-19
29,2020-02-20
30,2020-02-21
31,2020-02-22
32,2020-02-23
33,2020-02-24
34,2020-02-25
35,2020-02-26
36,2020-02-27
37,2020-02-28
38,2020-02-29
39,2020-03-01
40,2020-03-02
41,2020-03-03
42,2020-03-04
43,2020-03-05
44,2020-03-06
45,2020-03-07
46,2020-03-08
47,2020-03-09
48,2020-03-10
49,2020-03-11
50,2020-03-12
51,2020-03-13
52,2020-03-14
53,2020-03-15
54,2020-03-16
55,2020-03-17
56,2020-03-18
57,2020-03-19
58,2020-03-20
59,2020-03-21
60,2020-03-22
61,2020-03-23
62,2020-03-24
63,2020-03-25
64,2020-03-26
65,2020-03-27
66,2020-03-28
67,2020-03-29
68,2020-03-30
69,2020-03-31
70,2020-04-01
71,2020-04-02
72,2020-04-03
73,2020-04-04
74,2020-04-05
75,2020-04-06
76,2020-04-07
77,2020-04-08
78,2020-04-09
79,2020-04-10
80,2020-04-11
81,2020-04-12
82,2020-04-13
83,2020-04-14
84,2020-04-15
85,2020-04-16
86,2020-04-17
87,2020-04-18
88,2020-04-19
89,2020-04-20
90,2020-04-21
91,2020-04-22
92,2020-04-23
93,2020-04-24
94,2020-04-25
95,2020-04-26
96,2020-04-27
97,2020-04-28
98,2020-04-29
99,2020-04-30
100,2020-05-01
101,2020-05-02
102,2020-05-03
103,2020-05-04
104,2020-05-05
105,2020-05-06
106,2020-05-07
107,2020-05-08
108,2020-05-09
